model,year,transmission,mileage,fuelType,tax,mpg,engineSize,brand,categoria_precio
i3,2014,Automatic,34539,Hybrid,0,470.8,0.6,BMW,gama_baja
i3,2014,Automatic,37161,Hybrid,0,470.8,0.6,BMW,gama_baja
i3,2014,Automatic,42479,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2015,Automatic,9886,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2015,Automatic,33931,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2015,Automatic,65800,Hybrid,0,470.8,0.6,BMW,gama_baja
i3,2015,Automatic,79830,Hybrid,0,470.8,0.6,BMW,gama_baja
i3,2015,Automatic,59000,Hybrid,0,470.8,0.6,BMW,gama_baja
i3,2016,Automatic,8421,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,19995,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,20013,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,35446,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,43695,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,59945,Hybrid,0,470.8,0.6,BMW,gama_baja
i3,2016,Automatic,68000,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,9990,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,25269,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2016,Automatic,41063,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2017,Automatic,20321,Hybrid,135,470.8,0.6,BMW,gama_media
i3,2017,Automatic,3976,Hybrid,135,470.8,0.6,BMW,gama_alta
i3,2017,Automatic,10839,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2017,Automatic,10900,Hybrid,140,470.8,0.6,BMW,gama_media
i3,2017,Automatic,16867,Hybrid,135,470.8,0.6,BMW,gama_media
i3,2017,Automatic,17338,Hybrid,135,470.8,0.6,BMW,gama_media
i3,2017,Automatic,20082,Hybrid,135,470.8,0.6,BMW,gama_media
i3,2017,Automatic,20929,Hybrid,135,470.8,0.6,BMW,gama_media
i3,2017,Automatic,21025,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2017,Automatic,22063,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2017,Automatic,23983,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2017,Automatic,24041,Hybrid,0,470.8,0.6,BMW,gama_media
i3,2017,Automatic,26139,Hybrid,135,470.8,0.6,BMW,gama_media
i3,2017,Automatic,26965,Hybrid,140,470.8,0.6,BMW,gama_media
i3,2017,Automatic,28169,Hybrid,0,470.8,0.6,BMW,gama_alta
i3,2017,Automatic,29851,Hybrid,0,470.8,0.6,BMW,gama_media
